Food_items,Breakfast,Lunch,Dinner,Snack,Deserts,type,Veg/NonVeg,Calories,Servings,Portion,PreDiabetic,Diabetic
sri Lankan roti,1,0,1,0,0,rice and others,veg,407,2,Piece,1,0
fish bun,0,0,0,0,0,snack,Nonveg,221,1,Unit,1,0
chicken curry,1,1,1,0,0,meat,Nonveg,121,2,Piece,1,1
halapa,1,0,1,0,0,rice and others,veg,197,1,Unit,1,0
lamprais,0,1,1,0,0,rice and others,Nonveg,379,1,unit,1,0
kola mallum,1,1,1,0,0,vegetables,veg,32,1,tbsp,1,1
buffalo curd,0,0,0,0,1,dairy products,veg,88,1,cup,1,0
beef cury,1,1,1,0,0,meat,Nonveg,345,3,tbsp,1,0
tinned fish cury,1,1,1,0,0,seafood,Nonveg,132,3,tbsp,1,0
chicken kottu,1,1,1,0,0,rice and others,Nonveg,128,1,cup,1,0
chicken soup,0,0,1,0,0,vegetables,Nonveg,190,1,Cup,1,1
goat curry,1,1,1,0,0,meat,Nonveg,115,3,tbsp,1,0
fish patties,0,0,0,0,0,snack,Nonveg,150,1,Unit,1,0
vegetable roti,1,0,0,0,0,vegetables,Veg,380,1,Unit,1,0
polos curry,1,1,1,0,0,vegetables,veg,92,3,tbsp,1,1
seeni sambol bun,0,0,0,0,0,snack,veg,215,1,unit,1,0
hoppers,1,0,1,0,0,rice and others,Veg,369,2,Piece,1,0
long beans cury,1,1,1,0,0,vegetables,Veg,267,4,tbsp,1,1
potato fry,1,1,1,0,0,vegetables,Veg,112,2,tbsp,1,0
omelete,1,1,1,0,0,miscellaneous,Veg,69,1,Unit,1,1
murunga curry,1,1,1,0,0,vegetables,Veg,116,5,tbsp,1,1
wandu appa,1,0,1,0,0,rice and others,Veg,191,1,Piece,1,0
dhal curry,1,1,1,0,0,vegetables,Veg,385,4,tbsp,1,1
shrimp curry,1,1,1,0,0,seafood,Nonveg,456,1,Cup,1,1
crab curry,1,1,1,0,0,seafood,Nonveg,573,1,Cup,1,1
mango curry,1,1,1,0,0,vegetables,Veg,40,1,piece,1,1
fish cutlet,0,1,1,0,0,miscellaneous,Nonveg,97,1,Piece,1,1
sambar,0,0,1,0,0,vegetables,Veg,309,1,Cup,1,1
fish curry,1,1,1,0,0,seafood,Nonveg,540,1,Cup,1,1
pol roti,1,0,1,0,0,rice and others,Veg,190,1,Piece,1,0
tofu curry,1,1,1,0,0,vegetables,Nonveg,260,3,tbsp,1,1
pork black curry,0,1,1,0,0,meat,Nonveg,231,3,tbsp,1,0
chicken sandwich,1,0,0,0,0,rice and others,Nonveg,245,1,piece,1,1
tuna sandwich,1,0,0,0,0,seafood,Nonveg,300,1,Piece,1,1
chicken salad,1,0,0,0,0,meat,Nonveg,278,1,Bowl,1,1
vegetable rice,0,1,0,0,0,rice and others,Veg,259,1,Cup,1,1
mix rice,0,1,0,0,0,rice and others,Nonveg,264,1,Cup,1,1
prawn rice,0,0,1,0,0,rice and others,Nonveg,236,1,Cup,1,1
vegetable soup,0,0,1,0,0,vegetables,Veg,210,1,Bowl,1,1
